day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day3,3158,"VINTAGE JAEGER LECOULTRE ATMOS MANTEL CLOCK",400,600,100,3,6,https://live.thomastonauction.com/auction-lot/vintage-jaeger-lecoultre-atmos-mantel-clock_2c9ae94bc7
day3,3225,"VINTAGE JEAN MAHIE 22K GOLD LINK NECKLACE",6000,8000,3000,3,3,https://live.thomastonauction.com/auction-lot/vintage-jean-mahie-22k-gold-link-necklace_f8669fae5d
day3,3227,"VINTAGE JEAN MAHIE 22K GOLD MASK PENDANT",4500,5500,2200,3,2,https://live.thomastonauction.com/auction-lot/vintage-jean-mahie-22k-gold-mask-pendant_ebd605cd10
day3,3226,"VINTAGE JEAN MAHIE 22K GOLD PENDANT",5500,7000,2750,3,2,https://live.thomastonauction.com/auction-lot/vintage-jean-mahie-22k-gold-pendant_e82ccfc9e9
day3,3224,"VINTAGE JEAN MAHIE 22K GOLD SCULPTURAL BELT BUCKLE",6000,8000,3500,3,2,https://live.thomastonauction.com/auction-lot/vintage-jean-mahie-22k-gold-sculptural-belt-buckle_1998f1148d
day3,3028,"VINTAGE JENNINGS ""STANDARD CHIEF"" SLOT MACHINE",1000,2000,500,3,6,https://live.thomastonauction.com/auction-lot/vintage-jennings-standard-chief-slot-machine_e65767e34d
day3,3122,"VINTAGE PLATINUM AND DIAMOND SPRAY BROOCH",15000,20000,7500,3,2,https://live.thomastonauction.com/auction-lot/vintage-platinum-and-diamond-spray-brooch_34cbbb01c8
day3,3230,"VINTAGE PLATINUM EMERALD-CUT DIAMOND THREE-STONE RING",5000,7000,2500,3,2,https://live.thomastonauction.com/auction-lot/vintage-platinum-emerald-cut-diamond-three-stone-_116120d2f1
day3,3239,"VINTAGE ROLEX DATEJUST WATCH",8000,10000,4000,3,5,https://live.thomastonauction.com/auction-lot/vintage-rolex-datejust-watch_10d74c6ff0
day3,3341,"W. ANTHONY EVANKO (COLOMBIA/NY/NM, 1953 - )",300,400,100,3,2,https://live.thomastonauction.com/auction-lot/w-anthony-evanko-colombia-ny-nm-1953_38afc4b805
day3,3248,"W. KOHLER MESQUITE FLOOR LAMP WITH PIERCED COPPER SHADE",500,700,100,3,3,https://live.thomastonauction.com/auction-lot/w-kohler-mesquite-floor-lamp-with-pierced-copper-_06e8b1d488
day3,3428,"WALDO PEIRCE (MA/UK/ITALY, 1856-1925)",8000,12000,4000,3,5,https://live.thomastonauction.com/auction-lot/waldo-peirce-ma-uk-italy-1856-1925_1617dd54a5
day3,3427,"WALDO PEIRCE (MA/UK/ITALY, 1856-1925)",4000,6000,2000,3,6,https://live.thomastonauction.com/auction-lot/waldo-peirce-ma-uk-italy-1856-1925_307489fe31
